Tiempo (s),Setpoint (K),Sensor 1 (K),Sensor 2 (K),dT/dt 1 (K/min),dT/dt 2 (K/Min),Potencia (W),Voltaje A (V),Voltaje B (V),Corriente (A),Resistencia A (Ohm),Resistencia B (Ohm)
117.1152344,299.2374211,305.8400000,26.8880000,-0.0517172,0.2844444,0.0000000,0.1001030,0.0000954,NaN,1049.6750928,NaN
118.2734375,299.2422591,305.8510000,27.0280000,0.7005405,0.1556757,0.0000000,0.1000870,0.0000953,NaN,1050.7402329,NaN
119.4414062,299.2470565,305.8570000,27.0750000,3.3252939,0.4156617,0.0000000,0.1001200,0.0000953,NaN,1050.2751570,NaN
120.6035156,299.2518823,305.8650000,27.0490000,4.8233753,0.4384887,0.0000000,0.1000830,0.0000953,NaN,1050.7125797,NaN
121.7626953,299.2567489,305.8740000,27.1390000,0.5407544,0.3605029,0.0000000,0.1001040,0.0000953,NaN,1050.0136884,NaN
122.9433594,299.2615910,305.8750000,27.0750000,1.6542533,0.4394110,0.0000000,0.1000850,0.0000953,NaN,1050.0401824,NaN
124.1054687,299.2664209,305.8830000,27.0850000,0.6667112,0.2564274,0.0000000,0.1000940,0.0000954,NaN,1049.5686130,NaN
125.2675781,299.2713403,305.8920000,27.0570000,-1.3829762,0.2304960,0.0000000,0.1001110,0.0000954,NaN,1049.1495068,NaN
126.4414062,299.2761825,305.8930000,26.8680000,-0.4646723,0.4388571,0.0000000,0.1000920,0.0000953,NaN,1050.4034564,NaN
127.5996094,299.2810246,305.8930000,26.9300000,-5.5737793,0.2568562,0.0000000,0.1000970,0.0000954,NaN,1049.7277548,NaN
128.7626953,299.2859155,305.8930000,26.8810000,-3.2675377,0.0257286,0.0000000,0.1001050,0.0000954,NaN,1049.1031193,NaN
129.9404297,299.2907414,305.8940000,26.7410000,0.3360202,0.0000000,0.0000000,0.1001160,0.0000953,NaN,1050.8097079,NaN
131.1025391,299.2955876,305.8960000,26.8580000,-4.8444556,0.0256320,0.0000000,0.1001010,0.0000953,NaN,1050.2631402,NaN
132.2636719,299.3004948,305.8940000,26.9340000,-0.5897830,0.0769282,0.0000000,0.1001040,0.0000954,NaN,1049.3939756,NaN
133.4785156,299.3053369,305.8940000,26.9810000,4.9844136,0.0000000,0.0000000,0.1001050,0.0000954,NaN,1049.7301877,NaN
134.6406250,299.3101750,305.8910000,26.9720000,3.1060912,-0.0505055,0.0000000,0.1001060,0.0000954,NaN,1048.8025404,NaN
135.8105469,299.3152368,305.8850000,26.9740000,0.9592112,-0.0757272,0.0000000,0.1000900,0.0000955,NaN,1048.5843744,NaN
136.9755859,299.3200789,305.8880000,27.0560000,-0.1801005,-0.2315578,0.0000000,0.1000710,0.0000954,NaN,1049.0821278,NaN
138.1484375,299.3249536,305.8850000,27.0870000,2.1584944,-0.0770891,0.0000000,0.1000990,0.0000955,NaN,1048.0308654,NaN
139.3164062,299.3298079,305.8780000,26.8860000,2.9000501,0.0000000,0.0000000,0.1001300,0.0000954,NaN,1049.1298289,NaN
140.4814453,299.3346948,305.8800000,27.0460000,-4.3574468,-0.2563204,0.0000000,0.1001130,0.0000954,NaN,1049.4300165,NaN
141.6484375,299.3395614,305.8750000,26.9490000,-1.0544328,-0.1285894,0.0000000,0.1000950,0.0000955,NaN,1048.0471425,NaN
142.8330078,299.3444157,305.8740000,27.1000000,1.6209045,-0.0771859,0.0000000,0.1001070,0.0000955,NaN,1048.5076307,NaN
144.0009766,299.3492782,305.8740000,26.9520000,1.3778073,-0.1530897,0.0000000,0.1001120,0.0000955,NaN,1048.7214674,NaN
145.1494141,299.3542139,305.8700000,26.8100000,0.0765131,-0.0255044,0.0000000,0.1001240,0.0000956,NaN,1047.7507014,NaN
146.3134766,299.3590804,305.8680000,26.8850000,-7.5116358,-0.1036088,0.0000000,0.1001270,0.0000956,NaN,1047.5365467,NaN
147.4785156,299.3638656,305.8680000,27.0050000,-1.7383784,-0.1556757,0.0000000,0.1001060,0.0000956,NaN,1047.3924525,NaN
148.6406250,299.3687158,305.8650000,26.8550000,5.0233962,-0.0515220,0.0000000,0.1000820,0.0000954,NaN,1048.8060219,NaN
149.8134766,299.3735701,305.8600000,26.7830000,-0.7734788,-0.0773479,0.0000000,0.1001220,0.0000955,NaN,1047.8953549,NaN
150.9882812,299.3784123,305.8580000,26.7970000,-5.7045922,-0.2055709,0.0000000,0.1001180,0.0000955,NaN,1048.7777284,NaN
