Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,1e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
7.510e-06,0.068
7.520e-06,0.068
7.530e-06,0.064
7.540e-06,0.064
7.550e-06,0.072
7.560e-06,0.072
7.570e-06,0.076
7.580e-06,0.068
7.590e-06,0.072
7.600e-06,0.072
7.610e-06,0.072
7.620e-06,0.072
7.630e-06,0.068
7.640e-06,0.068
7.650e-06,0.08
7.660e-06,0.08
7.670e-06,0.068
7.680e-06,0.076
7.690e-06,0.072
7.700e-06,0.06
7.710e-06,0.06
7.720e-06,0.064
7.730e-06,0.056
7.740e-06,0.064
7.750e-06,0.064
7.760e-06,0.06
7.770e-06,0.068

