Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60294040e-02,0.0129531,0.0104375,0.00555938,0.00520625
4.60294044e-02,0.0137812,0.00884375,0.00564062,0.005025
4.60294048e-02,0.0145312,0.0106562,0.00596875,0.0051625
4.60294052e-02,0.0126562,0.0121719,0.00544375,0.00500625
4.60294056e-02,0.0128125,0.0116406,0.0050875,0.00478125
4.60294060e-02,0.0133281,0.0112656,0.00532188,0.00491563
4.60294064e-02,0.0142969,0.0101875,0.00521875,0.00447812
4.60294068e-02,0.0128281,0.0102656,0.00534688,0.00404063
4.60294072e-02,0.0127344,0.0100625,0.00544375,0.00395313
4.60294076e-02,0.0139375,0.00876562,0.00571875,0.00421563
4.60294080e-02,0.0127812,0.00926562,0.00563125,0.00434688
4.60294084e-02,0.0125938,0.0103906,0.00630313,0.004425
4.60294088e-02,0.0130625,0.0108125,0.00622188,0.00454688
4.60294092e-02,0.0127656,0.00971875,0.0062125,0.00455625
4.60294096e-02,0.0126719,0.0099375,0.00645938,0.00469375
4.60294100e-02,0.0130781,0.00976562,0.00665625,0.00480625
4.60294104e-02,0.0129219,0.00895313,0.00690312,0.00517188
4.60294108e-02,0.0149219,0.0086875,0.006775,0.0056
4.60294112e-02,0.0137031,0.0102031,0.00669375,0.0055375
4.60294116e-02,0.0134219,0.0099375,0.00653437,0.00580313
4.60294120e-02,0.0142969,0.00917187,0.0065375,0.00611875
4.60294124e-02,0.0138906,0.00910937,0.0064625,0.006025
4.60294128e-02,0.0126094,0.0107344,0.00639062,0.00617188
4.60294132e-02,0.0121406,0.0110781,0.00601562,0.00590625
4.60294136e-02,0.0140781,0.00957812,0.00573437,0.00639062
4.60294140e-02,0.0125469,0.0102969,0.00516563,0.00594063
4.60294144e-02,0.0117656,0.00935938,0.00502187,0.00596875
4.60294148e-02,0.0124063,0.0102969,0.00494063,0.0053375
4.60294152e-02,0.0129375,0.0114063,0.00485,0.00524062
4.60294156e-02,0.012,0.0110781,0.00472812,0.00510625
4.60294160e-02,0.0135625,0.0103281,0.00501562,0.00450312
4.60294164e-02,0.0122812,0.0106094,0.00505625,0.0042875
4.60294168e-02,0.012875,0.012,0.00518125,0.00423437
4.60294172e-02,0.0139531,0.0102969,0.0051,0.0039625
4.60294176e-02,0.0138437,0.00954688,0.0055375,0.00393438
