#Pulsos	T-tor_ no puedo porque tienen diferente	002b	002c	002d	002e	002f	002g	002h	002i	delta02b/11684	delta02c/8818.2	delta02d/10250	delta02e/10030	delta02f/10155	delta02g/9355.1	delta02h/8967.2	delta2i/9164.5	S5_delta02b	S5_delta02c	S5_delta02d	S5_delta02e	S5_delta02f	S5_delta02g	S5_delta02h	S5_delta02i	AA	T_02b	T_02i	T_02c	T_02f	T_02d	T_02e	AH	AI	AJ
																											187.06				449.67	734.58			
																											188.38				450.99	735.90			
																											189.70				452.31	737.22			
																											191.02				453.63	738.54			
																											192.34				454.95	739.86			
																											193.66				456.27	741.18			
																											194.98				457.59	742.51			
																											196.30				458.91	743.83			
																											197.62				460.23	745.15			
																											198.94				461.55	746.47			
																											200.26				462.87	747.79			
																											201.58				464.19	749.11			
																											202.91				465.51	750.43			
																											204.23				466.84	751.75			
																											205.55				468.16	753.07			
																											206.87				469.48	754.39			
																											208.19				470.80	755.71			
																											209.51				472.12	757.03			
																											210.83				473.44	758.35			
																											212.15				474.76	759.67			
																											213.47				476.08	760.99			
																											214.79				477.40	762.31			
																											216.12				478.72	763.63			
																											217.44				480.04	764.95			
																											218.76				481.36	766.27			
																											220.08				482.68	767.59			
																											221.40				484.01	768.91			
																											222.72				485.33	770.23			
																											224.04				486.65	771.56			
																															487.97	772.88			
																															489.29	774.20			
																															490.61	775.52			
																															491.93	776.84			
																															493.25	778.16			
																															494.57	779.48			
																															495.89	780.80			
																															497.21	782.12			
																															498.54	783.44			
																															499.86	784.76			
																															501.18	786.08			
																															502.50	787.40			
																															503.82	788.73			
																															505.14	790.05			
																															506.46	791.37			
																															507.78	792.69			
																															509.10	794.01			
																															510.42	795.33			
																															511.74	796.65			
																															513.06	797.97			
																															514.38	799.29			
																															515.70	800.61			
																															517.02	801.93			
																															518.34	803.25			
																															519.66	804.57			
																															520.99	805.89			
																															522.31	807.22			
																															523.63	808.54			
																															524.95	809.86			
																															526.27	811.18			
																															527.59	812.50			
																															528.91	813.82			
																															530.23	815.14			
																															531.55	816.46			
																															532.87	817.78			
																															534.19	819.10			
																															535.51	820.42			
																															536.83	821.74			
																															538.15	823.06			
																															539.47	824.39			
																															540.79	825.71			
																															542.11	827.03			
																															543.44	828.35			
																															544.76	829.67			
																															546.08	830.99			
																															547.40	832.31			
																															548.72	833.63			
																															550.04	834.95			
																															551.36	836.27			
																															552.68	837.59			
																															554.00	838.91			
																															555.32	840.23			
																															556.64	841.55			
																															557.96	842.88			
																															559.29	844.20			
																															560.61	845.52			
																															561.93	846.84			
																															563.25	848.16			
																															564.57	849.48			
																															565.89	850.80			
																															567.21	852.12			
																															568.53	853.44			
																															569.85	854.76			
																															571.17	856.08			
																															572.49	857.40			
																															573.82	858.72			
																															575.14	860.04			
																															576.46	861.37			
																															577.78	862.69			
																															579.10	864.01			
																															580.42	865.33			
																															581.74	866.65			
																															583.06	867.97			
																															584.38	869.29			
																															585.70	870.61			
																															587.03	871.93			
																															588.35	873.25			
																															589.67	874.57			
																															590.99	875.89			
																															592.31	877.21			
																															593.63	878.54			
																															594.95	879.86			
																															596.27	881.18			
																															597.59	882.50			
																															598.91	883.82			
																															600.23	885.14			
																															601.55	886.46			
																															602.88	887.78			
																															604.20	889.10			
																															605.52	890.42			
																															606.84	891.74			
																															608.16	893.06			
																															609.48	894.38			
																															610.80	895.70			
