Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Sample Interval,4e-05,,,Sample Interval,4e-05
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,2,0.5,,Vertical Scale,1
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
6.760e-03,7.48,2.36,,6.760e-03,2.36
6.800e-03,7.64,2.42,,6.800e-03,2.42
6.840e-03,7.64,2.38,,6.840e-03,2.38
6.880e-03,7.48,2.42,,6.880e-03,2.42
6.920e-03,7.64,2.4,,6.920e-03,2.4
6.960e-03,7.56,2.4,,6.960e-03,2.4
7.000e-03,7.56,2.38,,7.000e-03,2.38
7.040e-03,7.56,2.42,,7.040e-03,2.42
7.080e-03,7.56,2.4,,7.080e-03,2.4
7.120e-03,7.4,2.36,,7.120e-03,2.36
7.160e-03,7.56,2.38,,7.160e-03,2.38
7.200e-03,7.56,2.4,,7.200e-03,2.4
7.240e-03,7.56,2.42,,7.240e-03,2.42
7.280e-03,7.48,2.42,,7.280e-03,2.42
7.320e-03,7.48,2.42,,7.320e-03,2.42
7.360e-03,7.4,2.4,,7.360e-03,2.4
7.400e-03,7.48,2.4,,7.400e-03,2.4
7.440e-03,7.48,2.38,,7.440e-03,2.38
7.480e-03,7.48,2.42,,7.480e-03,2.42
7.520e-03,7.4,2.4,,7.520e-03,2.4
7.560e-03,7.56,2.42,,7.560e-03,2.42
7.600e-03,7.72,2.42,,7.600e-03,2.42
7.640e-03,7.56,2.4,,7.640e-03,2.4
7.680e-03,7.56,2.44,,7.680e-03,2.44
7.720e-03,7.4,2.4,,7.720e-03,2.4
7.760e-03,7.48,2.4,,7.760e-03,2.4
7.800e-03,7.56,2.42,,7.800e-03,2.42
7.840e-03,7.56,2.4,,7.840e-03,2.4
7.880e-03,7.48,2.42,,7.880e-03,2.42
7.920e-03,7.56,2.42,,7.920e-03,2.42
7.960e-03,7.48,2.42,,7.960e-03,2.42
8.000e-03,7.56,2.42,,8.000e-03,2.42
