Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,47.499900% to 52.500%,47.499900% to 52.500%,47.499900% to 52.500%,47.499900% to 52.500%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-3.248000e-07,0.288,0.204,0.012,0.0136
-3.244000e-07,0.284,0.2,0.0112,0.0128
-3.240000e-07,0.284,0.192,0.0128,0.0128
-3.236000e-07,0.292,0.192,0.0112,0.0128
-3.232000e-07,0.296,0.184,0.0112,0.012
-3.228000e-07,0.288,0.184,0.0104,0.012
-3.224000e-07,0.288,0.184,0.0096,0.0112
-3.220000e-07,0.288,0.184,0.0096,0.0112
-3.216000e-07,0.28,0.184,0.0096,0.0112
-3.212000e-07,0.284,0.184,0.0104,0.0104
-3.208000e-07,0.292,0.184,0.0104,0.0104
-3.204000e-07,0.292,0.192,0.0096,0.0096
-3.200000e-07,0.296,0.192,0.0112,0.0112
-3.196000e-07,0.292,0.196,0.012,0.0104
-3.192000e-07,0.292,0.196,0.012,0.0112
-3.188000e-07,0.292,0.2,0.0112,0.0112
-3.184000e-07,0.296,0.204,0.0112,0.012
-3.180000e-07,0.3,0.212,0.0112,0.0112
-3.176000e-07,0.292,0.212,0.0112,0.0128
-3.172000e-07,0.296,0.212,0.0112,0.0112
-3.168000e-07,0.3,0.216,0.0104,0.012
-3.164000e-07,0.3,0.22,0.0088,0.0136
-3.160000e-07,0.296,0.212,0.0096,0.0136
-3.156000e-07,0.3,0.2,0.012,0.0128
-3.152000e-07,0.296,0.204,0.0128,0.0128
-3.148000e-07,0.304,0.204,0.0136,0.0144
-3.144000e-07,0.296,0.204,0.0128,0.0144
-3.140000e-07,0.284,0.184,0.0112,0.0128
-3.136000e-07,0.288,0.184,0.012,0.012
-3.132000e-07,0.292,0.184,0.0112,0.012
-3.128000e-07,0.296,0.18,0.012,0.012
-3.124000e-07,0.296,0.184,0.0112,0.0128
-3.120000e-07,0.296,0.18,0.0104,0.0128
-3.116000e-07,0.296,0.18,0.012,0.0136
-3.112000e-07,0.292,0.188,0.0128,0.012
-3.108000e-07,0.296,0.184,0.0128,0.0136
-3.104000e-07,0.292,0.184,0.0128,0.0136
-3.100000e-07,0.296,0.188,0.0128,0.0112
-3.096000e-07,0.3,0.196,0.0128,0.012
-3.092000e-07,0.296,0.204,0.012,0.0104
-3.088000e-07,0.292,0.204,0.0096,0.012
-3.084000e-07,0.3,0.212,0.012,0.012
-3.080000e-07,0.3,0.212,0.0112,0.0104
-3.076000e-07,0.3,0.212,0.012,0.0096
-3.072000e-07,0.3,0.208,0.0112,0.012
-3.068000e-07,0.296,0.208,0.0112,0.0112
-3.064000e-07,0.3,0.22,0.0112,0.012
-3.060000e-07,0.3,0.216,0.0112,0.012
-3.056000e-07,0.3,0.212,0.0112,0.012
-3.052000e-07,0.296,0.208,0.012,0.0112
-3.048000e-07,0.288,0.208,0.012,0.012
-3.044000e-07,0.288,0.2,0.0128,0.012
-3.040000e-07,0.3,0.196,0.0128,0.0104
-3.036000e-07,0.3,0.2,0.0104,0.0112
-3.032000e-07,0.292,0.188,0.0104,0.0104
-3.028000e-07,0.3,0.184,0.0104,0.0104
-3.024000e-07,0.3,0.18,0.0104,0.0112
-3.020000e-07,0.296,0.18,0.0112,0.012
-3.016000e-07,0.3,0.18,0.0112,0.012
-3.012000e-07,0.3,0.18,0.0104,0.012
-3.008000e-07,0.296,0.188,0.012,0.0136
-3.004000e-07,0.296,0.18,0.0128,0.0128
-3.000000e-07,0.296,0.188,0.012,0.0128
-2.996000e-07,0.296,0.2,0.0112,0.0128
-2.992000e-07,0.3,0.2,0.0112,0.012
-2.988000e-07,0.296,0.216,0.012,0.012
-2.984000e-07,0.3,0.216,0.0112,0.012
-2.980000e-07,0.304,0.216,0.012,0.0128
-2.976000e-07,0.304,0.216,0.012,0.0128
-2.972000e-07,0.3,0.22,0.012,0.0128
-2.968000e-07,0.308,0.216,0.0136,0.0128
-2.964000e-07,0.3,0.216,0.0128,0.012
-2.960000e-07,0.304,0.212,0.0112,0.012
-2.956000e-07,0.308,0.204,0.012,0.012
-2.952000e-07,0.312,0.2,0.0136,0.0112
